step  7560 | loss 5.5685 | lm 5.5685 | ppl 262.0 | gnorm 0.783 | lr 7.00e-05 | 133973 tok/s | Φ 0.844 | λ₁ 0.352 | ign 0.40 | mesoLG 0.47 | troph 4/4 μ1.98 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.443 θ=0.268 γ=0.289]
step  7580 | loss 5.7213 | lm 5.7213 | ppl 305.3 | gnorm 0.926 | lr 6.94e-05 | 133425 tok/s | Φ 0.839 | λ₁ 0.352 | ign 0.41 | mesoLG 0.47 | troph 4/4 μ1.97 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.492 θ=0.257 γ=0.252]
step  7600 | loss 5.3758 | lm 5.3758 | ppl 216.1 | gnorm 0.975 | lr 6.88e-05 | 131082 tok/s | Φ 0.863 | λ₁ 0.352 | ign 0.37 | mesoLG 0.49 | troph 4/4 μ1.98 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.505 θ=0.258 γ=0.237]
step  7620 | loss 5.4066 | lm 5.4066 | ppl 222.9 | gnorm 0.884 | lr 6.82e-05 | 128655 tok/s | Φ 0.838 | λ₁ 0.352 | ign 0.39 | mesoLG 0.52 | troph 4/4 μ1.98 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.410 θ=0.296 γ=0.294]
step  7640 | loss 5.4263 | lm 5.4263 | ppl 227.3 | gnorm 2.024 | lr 6.76e-05 | 128342 tok/s | Φ 0.884 | λ₁ 0.352 | ign 0.41 | mesoLG 0.46 | troph 4/4 μ1.96 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.367 θ=0.320 γ=0.313]
step  7660 | loss 5.5333 | lm 5.5333 | ppl 253.0 | gnorm 1.224 | lr 6.69e-05 | 128091 tok/s | Φ 0.871 | λ₁ 0.352 | ign 0.35 | mesoLG 0.50 | troph 4/4 μ1.94 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.332 θ=0.319 γ=0.348]
step  7680 | loss 5.6472 | lm 5.6472 | ppl 283.5 | gnorm 1.184 | lr 6.64e-05 | 128237 tok/s | Φ 0.851 | λ₁ 0.352 | ign 0.33 | mesoLG 0.51 | troph 4/4 μ1.95 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.365 θ=0.295 γ=0.340]
step  7700 | loss 5.6964 | lm 5.6964 | ppl 297.8 | gnorm 1.225 | lr 6.58e-05 | 128143 tok/s | Φ 0.876 | λ₁ 0.352 | ign 0.33 | mesoLG 0.49 | troph 4/4 μ1.98 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.376 θ=0.335 γ=0.290]
step  7720 | loss 5.4555 | lm 5.4555 | ppl 234.0 | gnorm 1.097 | lr 6.52e-05 | 128545 tok/s | Φ 0.831 | λ₁ 0.352 | ign 0.34 | mesoLG 0.45 | troph 4/4 μ1.99 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.364 θ=0.274 γ=0.363]
step  7740 | loss 5.5418 | lm 5.5418 | ppl 255.1 | gnorm 0.831 | lr 6.46e-05 | 129223 tok/s | Φ 0.860 | λ₁ 0.352 | ign 0.38 | mesoLG 0.48 | troph 4/4 μ1.99 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.429 θ=0.269 γ=0.302]
step  7760 | loss 5.5085 | lm 5.5085 | ppl 246.8 | gnorm 1.104 | lr 6.40e-05 | 132576 tok/s | Φ 0.872 | λ₁ 0.352 | ign 0.39 | mesoLG 0.51 | troph 4/4 μ2.00 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.382 θ=0.246 γ=0.372]
step  7780 | loss 5.5544 | lm 5.5544 | ppl 258.4 | gnorm 1.324 | lr 6.34e-05 | 130231 tok/s | Φ 0.908 | λ₁ 0.352 | ign 0.43 | mesoLG 0.54 | troph 4/4 μ1.99 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.374 θ=0.278 γ=0.348]
step  7800 | loss 5.7087 | lm 5.7087 | ppl 301.5 | gnorm 0.928 | lr 6.28e-05 | 132710 tok/s | Φ 0.858 | λ₁ 0.352 | ign 0.41 | mesoLG 0.52 | troph 4/4 μ1.99 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.401 θ=0.288 γ=0.311]
step  7820 | loss 5.7332 | lm 5.7332 | ppl 309.0 | gnorm 1.362 | lr 6.23e-05 | 132223 tok/s | Φ 0.921 | λ₁ 0.352 | ign 0.37 | mesoLG 0.50 | troph 4/4 μ2.01 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.427 θ=0.304 γ=0.269]
step  7840 | loss 5.7170 | lm 5.7170 | ppl 304.0 | gnorm 0.987 | lr 6.17e-05 | 132744 tok/s | Φ 0.865 | λ₁ 0.352 | ign 0.37 | mesoLG 0.53 | troph 4/4 μ2.02 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.410 θ=0.270 γ=0.320]
step  7860 | loss 5.6667 | lm 5.6667 | ppl 289.1 | gnorm 0.818 | lr 6.11e-05 | 128022 tok/s | Φ 0.836 | λ₁ 0.352 | ign 0.40 | mesoLG 0.51 | troph 4/4 μ1.99 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.399 θ=0.235 γ=0.366]
step  7880 | loss 5.8267 | lm 5.8267 | ppl 339.2 | gnorm 1.579 | lr 6.06e-05 | 128810 tok/s | Φ 0.883 | λ₁ 0.352 | ign 0.41 | mesoLG 0.50 | troph 4/4 μ2.00 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.368 θ=0.253 γ=0.379]
step  7900 | loss 5.6689 | lm 5.6689 | ppl 289.7 | gnorm 1.021 | lr 6.00e-05 | 127764 tok/s | Φ 0.866 | λ₁ 0.352 | ign 0.40 | mesoLG 0.50 | troph 4/4 μ1.99 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.403 θ=0.239 γ=0.358]
step  7920 | loss 5.4049 | lm 5.4049 | ppl 222.5 | gnorm 1.058 | lr 5.95e-05 | 129142 tok/s | Φ 0.902 | λ₁ 0.352 | ign 0.38 | mesoLG 0.51 | troph 4/4 μ2.00 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.405 θ=0.218 γ=0.377]
step  7940 | loss 5.3281 | lm 5.3281 | ppl 206.0 | gnorm 0.651 | lr 5.89e-05 | 129513 tok/s | Φ 0.822 | λ₁ 0.352 | ign 0.39 | mesoLG 0.48 | troph 4/4 μ1.99 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.390 θ=0.241 γ=0.369]
step  7960 | loss 5.2513 | lm 5.2513 | ppl 190.8 | gnorm 0.890 | lr 5.84e-05 | 130428 tok/s | Φ 0.831 | λ₁ 0.352 | ign 0.37 | mesoLG 0.49 | troph 4/4 μ1.98 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.336 θ=0.211 γ=0.453]
step  7980 | loss 5.1836 | lm 5.1836 | ppl 178.3 | gnorm 0.760 | lr 5.79e-05 | 129652 tok/s | Φ 0.808 | λ₁ 0.352 | ign 0.38 | mesoLG 0.46 | troph 4/4 μ1.99 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.360 θ=0.195 γ=0.445]
step  8000 | loss 5.4206 | lm 5.4206 | ppl 226.0 | gnorm 1.203 | lr 5.73e-05 | 131577 tok/s | Φ 0.803 | λ₁ 0.352 | ign 0.40 | mesoLG 0.46 | troph 4/4 μ1.98 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.347 θ=0.199 γ=0.454]
[train_dsl] saved checkpoint /workspace/brian/lfs_checkpoints/dsl_arch_step8000.pt
step  8020 | loss 5.6375 | lm 5.6375 | ppl 280.8 | gnorm 1.125 | lr 5.68e-05 | 82812 tok/s | Φ 0.828 | λ₁ 0.352 | ign 0.40 | mesoLG 0.49 | troph 4/4 μ1.95 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.412 θ=0.192 γ=0.396]
